
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Litre | n. (us liter) metric unit of capacity equal to <br>1 cubic decimetre (1.<br>76 pints). [greek litra]
Litter | <br>—n. <br>1 a refuse, esp. Paper, discarded in a public place. B odds and ends lying about. <br>2 young animals brought forth at one birth. <br>3 vehicle containing a couch and carried on men's shoulders or by animals. <br>4 a kind of stretcher for the sick and wounded. <br>5 straw etc., as bedding for animals. <br>6 granulated material for use as an animal's, esp. A cat's, toilet indoors. <br>—v. <br>1 make (a place) untidy with refuse. <br>2 give birth to (whelps etc.). <br>3 a provide (a horse etc.) With litter as bedding. B spread straw etc. On (a stable-floor etc.). [latin lectus bed]
Lobby | <br>—n. (pl. -ies) <br>1 porch, ante-room, entrance-hall, or corridor. <br>2 a (in the house of commons) large hall used esp. For interviews between mps and the public. B (also division lobby) each of two corridors to which mps retire to vote. <br>3 a body of lobbyists (anti-abortion lobby). B organized rally of lobbying members of the public. <br>4 (prec. By the) group of journalists who receive unattributable briefings from the government (lobby correspondent). <br>—v. (-ies, -ied) <br>1 solicit the support of (an influential person). <br>2 (of members of the public) inform in order to influence (legislators, an mp, etc.). <br>3 frequent a parliamentary lobby. [latin lobia lodge]
Usage | in standard english, it is not acceptable to use locate to mean merely ‘find’ as in can't locate my key.
Logic | n. <br>1 a science of reasoning. B particular system or method of reasoning. <br>2 a chain of reasoning (regarded as sound or unsound). B use of or ability in argument. <br>3 inexorable force, compulsion, or consequence (the logic of events). <br>4 a principles used in designing a computer etc. B circuits using this.  logician n. [related to *-logic]
Logo | n. (pl. -s) emblem of an organization used in its display material etc. [abbreviation of logotype from greek logos word]
Long-standing | adj. That has long existed.
Loop | <br>—n. <br>1 a figure produced by a curve, or a doubled thread etc., that crosses itself. B thing, path, etc., forming this figure. <br>2 similarly shaped attachment used as a fastening. <br>3 ring etc. As a handle etc. <br>4 contraceptive coil. <br>5 (in full loop-line) railway or telegraph line that diverges from a main line and joins it again. <br>6 skating or aerobatic manoeuvre describing a loop. <br>7 complete circuit for an electric current. <br>8 endless band of tape or film allowing continuous repetition. <br>9 sequence of computer operations repeated until some condition is satisfied. <br>—v. <br>1 form or bend into a loop. <br>2 fasten with a loop or loops. <br>3 form a loop. <br>4 (also loop the loop) fly in a circle vertically. [origin unknown]
Usage | in sense 1a, a lot of is somewhat informal, but acceptable in serious writing, whereas lots of is not acceptable.
Lottery | n. (pl. -ies) <br>1 means of raising money by selling numbered tickets and giving prizes to the holders of numbers drawn at random. <br>2 thing whose success is governed by chance. [dutch: related to *lot]
Loyal | adj. <br>1 (often foll. By to) faithful. <br>2 steadfast in allegiance etc.  loyally adv. Loyalty n. (pl. -ies). [latin: related to *legal]
Usage | luxuriant is sometimes confused with luxurious.
Usage | luxurious is sometimes confused with luxuriant.
Lyric | <br>—adj. <br>1 (of poetry) expressing the writer's emotions, usu. Briefly and in stanzas. <br>2 (of a poet) writing in this manner. <br>3 meant or fit to be sung, songlike. <br>—n. <br>1 lyric poem. <br>2 (in pl.) Words of a song. [latin: related to *lyre]
Machinery | n. (pl. -ies) <br>1 machines. <br>2 mechanism. <br>3 (usu. Foll. By of) organized system. <br>4 (usu. Foll. By for) means devised.
Magical | adj. <br>1 of magic. <br>2 resembling, or produced as if by, magic. <br>3 wonderful, enchanting.  magically adv.
Magistrate | n. <br>1 civil officer administering the law. <br>2 official conducting a court for minor cases and preliminary hearings. [latin: related to *master]
Magnetic | adj. <br>1 a having the properties of a magnet. B produced or acting by magnetism. <br>2 capable of being attracted by or acquiring the properties of a magnet. <br>3 strongly attractive (magnetic personality).  magnetically adv.
Magnificent | adj. <br>1 splendid, stately. <br>2 colloq. Fine, excellent.  magnificence n. Magnificently adv. [latin magnificus from magnus great]
Magnitude | n. <br>1 largeness. <br>2 size. <br>3 importance. <br>4 a degree of brightness of a star. B class of stars arranged according to this (of the third magnitude).  of the first magnitude very important. [latin magnus great]
Mainland | n. Large continuous extent of land, excluding neighbouring islands.
Mainstream | n. <br>1 (often attrib.) Ultimately prevailing trend in opinion, fashion, etc. <br>2 type of swing jazz, esp. With solo improvisation. <br>3 principal current of a river etc.
Maintenance | n. <br>1 maintaining or being maintained. <br>2 a provision of the means to support life. B alimony. [french: related to *maintain]
Major | <br>—adj. <br>1 relatively great in size, intensity, scope, or importance. <br>2 (of surgery) serious. <br>3 mus. A (of a scale) having intervals of a semitone above its third and seventh notes. B (of an interval) greater by a semitone than a minor interval (major third). C (of a key) based on a major scale. <br>4 of full legal age. <br>—n. <br>1 a army officer next below lieutenant-colonel. B officer in charge of a band section (drum major). <br>2 person of full legal age. <br>3 us a student's main subject or course. B student of this. <br>—v. (foll. By in) us study or qualify in (a subject) as one's main subject. [latin, comparative of magnus great]
Usage | in sense 1, majority is strictly used only with countable nouns, as in the majority of people, and not (e.g.) The majority of the work.
Make-up | n. <br>1 cosmetics, as used generally or by actors. <br>2 character, temperament, etc. <br>3 composition (of a thing).
Making | n. (in pl.) <br>1 earnings; profit. <br>2 essential qualities or ingredients (has the makings of a pilot).  be the making of ensure the success of. In the making in the course of being made or formed. [old english: related to *make]
Mandate | <br>—n. <br>1 official command or instruction. <br>2 authority given by electors to a government, trade union, etc. <br>3 authority to act for another. <br>—v. (-ting) instruct (a delegate) how to act or vote. [latin mandatum, past part. Of mando command]
Mandatory | adj. <br>1 compulsory. <br>2 of or conveying a command.  mandatorily adv. [latin: related to *mandate]
Manifest | <br>—adj. Clear or obvious to the eye or mind. <br>—v. <br>1 show (a quality or feeling) by one's acts etc. <br>2 show plainly to the eye or mind. <br>3 be evidence of; prove. <br>4 refl. (of a thing) reveal itself. <br>5 (of a ghost) appear. <br>—n. Cargo or passenger list.  manifestation n. Manifestly adv. [latin manifestus]
Manipulate | v. (-ting) <br>1 handle, esp. With skill. <br>2 manage (a person, situation, etc.) To one's own advantage, esp. Unfairly. <br>3 move (part of a patient's body) by hand in order to increase flexion etc. <br>4 computing edit or move (text, data, etc.).  manipulable adj. Manipulation n. Manipulator n. [latin manus hand]
Manufacture | <br>—n. <br>1 making of articles, esp. In a factory etc. <br>2 branch of industry (woollen manufacture). <br>—v. (-ring) <br>1 make (articles), esp. On an industrial scale. <br>2 invent or fabricate (evidence, a story, etc.).  manufacturer n. [latin manufactum made by hand]
Manuscript | <br>—n. <br>1 text written by hand. <br>2 author's handwritten or typed text. <br>3 handwritten form (produced in manuscript). <br>—adj. Written by hand. [medieval latin manuscriptus written by hand]
Marathon | n. <br>1 long-distance running race, usu. Of <br>26 miles <br>385 yards (42.<br>195 km). <br>2 long-lasting or difficult undertaking etc. [marathon in greece, scene of a decisive battle in <br>490 bc: a messenger supposedly ran with news of the outcome to athens]
March | n. Third month of the year. [latin martius of mars]
Margin | <br>—n. <br>1 edge or border of a surface. <br>2 blank border flanking print etc. <br>3 amount by which a thing exceeds, falls short, etc. (won by a narrow margin). <br>4 lower limit (his effort fell below the margin). <br>—v. (-n-) provide with a margin or marginal notes. [latin margo -ginis]
Marginal | adj. <br>1 of or written in a margin. <br>2 a of or at the edge. B insignificant (of merely marginal interest). <br>3 (of a parliamentary seat etc.) Held by a small majority. <br>4 close to the limit, esp. Of profitability. <br>5 (of land) difficult to cultivate; unprofitable. <br>6 barely adequate.  marginally adv. [medieval latin: related to *margin]
Marine | <br>—adj. <br>1 of, found in, or produced by the sea. <br>2 a of shipping or naval matters (marine insurance). B for use at sea. <br>—n. <br>1 soldier trained to serve on land or sea. <br>2 country's shipping, fleet, or navy (merchant marine). [latin mare sea]
Marker | n. <br>1 thing marking a position etc. <br>2 person or thing that marks. <br>3 broad-tipped felt-tipped pen. <br>4 scorer in a game.
Martial | adj. <br>1 of warfare. <br>2 warlike. [latin martialis of mars]
Mask | <br>—n. <br>1 covering for all or part of the face as a disguise or for protection against infection etc. <br>2 respirator. <br>3 likeness of a person's face, esp. One from a mould (death-mask).
Massacre | <br>—n. <br>1 mass killing. <br>2 utter defeat or destruction. <br>—v. (-ring) <br>1 kill (esp. Many people) cruelly or violently. <br>2 colloq. Defeat heavily. [french]
Usage | masterful is normally used of a person, whereas masterly is used of achievements, abilities, etc.
Usage | see note at masterful.
Usage | mater is now only found in jocular or affected use.
Mathematical | adj. <br>1 of mathematics. <br>2 rigorously precise.  mathematically adv.
Usage | in sense 1, senior nursing officer is now the official term.
Mature | <br>—adj. (maturer, maturest) <br>1 a fully developed, adult. B sensible, wise. <br>2 ripe; seasoned. <br>3 (of thought etc.) Careful, considered. <br>4 (of a bill, insurance policy, etc.) Due, payable. <br>—v. (-ring) <br>1 develop fully; ripen. <br>2 perfect (a plan etc.). <br>3 (of a bill, insurance policy, etc.) Become due or payable.  maturely adv. Matureness n. Maturity n. [latin maturus timely]
Maximize | v. (also -ise) (-zing or -sing) make as large or great as possible.  maximization n. [latin: related to *maximum]
Usage | maximize should not be used in standard english to mean ‘to make as good as possible’ or ‘to make the most of’.
Usage | in sense 1b, both can and may are used to express permission; in more formal contexts may is preferred since can also denotes capability (can i move? = am i physically able to move?; may i move? = am i allowed to move?).
Mayor | n. <br>1 head of the corporation of a city or borough. <br>2 head of a district council with the status of a borough.  mayoral adj. [latin: related to *major]
Meaningful | adj. <br>1 full of meaning; significant. <br>2 logic able to be interpreted.  meaningfully adv. Meaningfulness n.
Meantime | <br>—adv. = *meanwhile. <br>—n. Intervening period (esp. In the meantime).
Usage | as an adverb, meantime is less common than meanwhile.
Mechanic | n. Person skilled in using or repairing machinery. [latin: related to *machine]
Mechanical | adj. <br>1 of machines or mechanisms. <br>2 working or produced by machinery. <br>3 (of an action etc.) Automatic; repetitive. <br>4 (of an agency, principle, etc.) Belonging to mechanics. <br>5 of mechanics as a science.  mechanically adv. [latin: related to *mechanic]
Mechanism | n. <br>1 structure or parts of a machine. <br>2 system of parts working together. <br>3 process; method (defence mechanism; no mechanism for complaints).  mechanistic adj. [greek: related to *machine]
Medal | n. Commemorative metal disc etc., esp. Awarded for military or sporting prowess. [latin: related to *metal]
Usage | media is commonly used with a singular verb (e.g. The media is biased), but this is not generally accepted (cf. *data).
Medication | n. <br>1 = *medicine 2. <br>2 treatment using drugs.
Medieval | adj. (also mediaeval) <br>1 of the middle ages. <br>2 colloq. Old-fashioned. [latin medium aevum middle age]
Melody | n. (pl. -ies) <br>1 single notes arranged to make a distinctive recognizable pattern; tune. <br>2 principal part in harmonized music. <br>3 musical arrangement of words. <br>4 sweet music, tunefulness. [greek melos song: related to *ode]
Membership | n. <br>1 being a member. <br>2 number or body of members.
Memo | n. (pl. -s) colloq. Memorandum. [abbreviation]
Memoir | n. <br>1 historical account etc. Written from personal knowledge or special sources. <br>2 (in pl.) Autobiography, esp. Partial or dealing with specific events or people. <br>3 essay on a learned subject. [french mémoire: related to *memory]
Memorable | adj. <br>1 worth remembering. <br>2 easily remembered.  memorably adv. [latin memor mindful]
Memorial | <br>—n. Object etc. Established in memory of a person or event. <br>—attrib. Adj. Commemorating (memorial service). [latin: related to *memory]
Mentor | n. Experienced and trusted adviser. [mentor in homer's odyssey]
Merchant | n. <br>1 wholesale trader, esp. With foreign countries. <br>2 esp. Us & scot. Retail trader. <br>3 colloq. Usu. Derog. Person devoted to a specified activity etc. (speed merchant). [latin mercor trade (v.)]
Mercy | <br>—n. (pl. -ies) <br>1 compassion or forbearance towards defeated enemies or offenders or as a quality. <br>2 act of mercy. <br>3 (attrib.) Done out of compassion (mercy killing). <br>4 thing to be thankful for (small mercies). <br>—int. Expressing surprise or fear.  at the mercy of <br>1 in the power of. <br>2 liable to danger or harm from. Have mercy on (or upon) show mercy to. [latin merces reward, pity]
Merge | v. (-ging) <br>1 (often foll. By with) a combine. B join or blend gradually. <br>2 (foll. By in) (cause to) lose character and identity in (something else). [latin mergo dip]
Merger | n. Combining, esp. Of two commercial companies etc. Into one.
Merit | <br>—n. <br>1 quality of deserving well. <br>2 excellence, worth. <br>3 (usu. In pl.) A thing that entitles one to reward or gratitude. B intrinsic rights and wrongs (merits of a case). <br>—v. (-t-) deserve. [latin meritum value, from mereor deserve]
Metaphor | n. <br>1 application of a name or description to something to which it is not literally applicable (e.g. A glaring error). <br>2 instance of this.  metaphoric adj. Metaphorical adj. Metaphorically adv. [latin from greek]
Methodology | n. (pl. -ies) <br>1 body of methods used in a particular activity. <br>2 science of method.  methodological adj. Methodologically adv.
Midst | <br>—prep. Poet. Amidst. <br>—n. Middle.  in the midst of among; in the middle of. In our (or your or their) midst among us (or you or them). [related to *mid]
Militant | <br>—adj. <br>1 combative; aggressively active in support of a cause. <br>2 engaged in warfare. <br>—n. Militant person.  militancy n. Militantly adv. [latin: related to *militate]
Usage | militate is often confused with mitigate.
Militia | n. Military force, esp. One conscripted in an emergency.  militiaman n. [latin, = military service]
Mill | <br>—n. <br>1 a building fitted with a mechanical device for grinding corn. B such a device. <br>2 device for grinding any solid to powder etc. (pepper-mill). <br>3 a building fitted with machinery for manufacturing processes etc. (cotton-mill). B such machinery. <br>—v. <br>1 grind (corn), produce (flour), or hull (seeds) in a mill. <br>2 (esp. As milled adj.) Produce a ribbed edge on (a coin). <br>3 cut or shape (metal) with a rotating tool. <br>4 (often foll. By about, around) move aimlessly, esp. In a confused mass.  go (or put) through the mill undergo (or cause to undergo) intensive work, pain, training, etc. [latin molo grind]
Usage | milliard is now largely superseded by billion.
Miner | n. Person who works in a mine. [french: related to *mine2]
Minimal | adj. <br>1 very minute or slight. <br>2 being a minimum.  minimally adv.
Minimize | v. (also -ise) (-zing or -sing) <br>1 reduce to, or estimate at, the smallest possible amount or degree. <br>2 estimate or represent at less than true value or importance.  minimization n.
Ministry | n. (pl. -ies) <br>1 a government department headed by a minister. B building for this. <br>2 a (prec. By the) vocation, office, or profession of a religious minister. B period of tenure of this. <br>3 (prec. By the) body of ministers of a government or religion. <br>4 period of government under one prime minister. <br>5 ministering, ministration. [latin: related to *minister]
Miracle | n. <br>1 extraordinary, supposedly supernatural, event. <br>2 remarkable occurrence or development (economic miracle). <br>3 (usu. Foll. By of) remarkable specimen (a miracle of ingenuity). [latin mirus wonderful]
Miserable | adj. <br>1 wretchedly unhappy or uncomfortable. <br>2 contemptible, mean. <br>3 causing wretchedness or discomfort (miserable weather).  miserableness n. Miserably adv. [latin: related to *miser]
Misery | n. (pl. -ies) <br>1 condition or feeling of wretchedness. <br>2 cause of this. <br>3 colloq. Constantly depressed or discontented person. [latin: related to *miser]
Missile | n. <br>1 object or weapon suitable for throwing at a target or for discharge from a machine. <br>2 weapon directed by remote control or automatically. [latin mitto miss- send]
Mob | <br>—n. <br>1 disorderly crowd; rabble. <br>2 (prec. By the) usu. Derog. The populace. <br>3 colloq. Gang; group. <br>—v. (-bb-) crowd round in order to attack or admire. [latin mobile vulgus excitable crowd]
Mobilize | v. (also -ise) (-zing or -sing) esp. Mil. Make or become ready for service or action.  mobilization n.
Mode | n. <br>1 way in which a thing is done. <br>2 prevailing fashion or custom. <br>3 mus. Any of several types of scale. [french and latin modus measure]
Moderate | <br>—adj. <br>1 avoiding extremes; temperate in conduct or expression. <br>2 fairly large or good. <br>3 (of the wind) of medium strength. <br>4 (of prices) fairly low. <br>—n. Person who holds moderate views, esp. In politics. <br>—v. (-ting) <br>1 make or become less violent, intense, rigorous, etc. <br>2 (also absol.) Act as moderator of or to.  moderately adv. Moderateness n. [latin]
Modest | adj. <br>1 having or expressing a humble or moderate estimate of one's own merits. <br>2 diffident, bashful. <br>3 decorous. <br>4 moderate or restrained in amount, extent, severity, etc. <br>5 unpretentious, not extravagant.  modestly adv. Modesty n. [french from latin]
Modification | n. <br>1 modifying or being modified. <br>2 change made.  modificatory adj. [latin: related to *modify]
Momentum | n. (pl. Momenta) <br>1 quantity of motion of a moving body, the product of its mass and velocity. <br>2 impetus gained by movement. <br>3 strength or continuity derived from an initial effort. [latin moveo move]
Usage | the term down's syndrome is now preferred.
Monk | n. Member of a religious community of men living under vows.  monkish adj. [greek monakhos from monos alone]
Monopoly | n. (pl. -ies) <br>1 a exclusive possession or control of the trade in a commodity or service. B this conferred as a privilege by the state. <br>2 (foll. By of, us on) exclusive possession, control, or exercise. [greek poleo sell]
Monster | n. <br>1 imaginary creature, usu. Large and frightening, made up of incongruous elements. <br>2 inhumanly cruel or wicked person. <br>3 misshapen animal or plant. <br>4 large, usu. Ugly, animal or thing. <br>5 (attrib.) Huge. [latin monstrum from moneo warn]
Monthly | <br>—adj. Done, produced, or occurring once every month. <br>—adv. Every month. <br>—n. (pl. -ies) monthly periodical.
Monument | n. <br>1 anything enduring that serves to commemorate or celebrate, esp. A structure or building. <br>2 stone etc. Placed over a grave or in a church etc. In memory of the dead. <br>3 ancient building or site etc. That has been preserved. <br>4 lasting reminder. [latin moneo remind]
Morality | n. (pl. -ies) <br>1 degree of conformity to moral principles. <br>2 right moral conduct. <br>3 science of morals. <br>4 particular system of morals (commercial morality).
Moreover | adv. Besides, in addition to what has been said.
Mortgage | <br>—n. <br>1 a conveyance of property to a creditor as security for a debt (usu. One incurred by the purchase of the property). B deed effecting this. <br>2 sum of money lent by this. <br>—v. (-ging) convey (a property) by mortgage.  mortgageable adj. [french, = dead pledge: related to *gage1]
Mosque | n. Muslim place of worship. [arabic masgid]
Motion | <br>—n. <br>1 moving; changing position. <br>2 gesture. <br>3 formal proposal put to a committee, legislature, etc. <br>4 application to a court for an order. <br>5 a an evacuation of the bowels. B (in sing. Or pl.) Faeces. <br>—v. (often foll. By to + infin.) <br>1 direct (a person) by a gesture. <br>2 (often foll. By to a person) make a gesture directing (motioned to me to leave).  go through the motions do something perfunctorily or superficially. In motion moving; not at rest. Put (or set) in motion set going or working.  motionless adj. [latin: related to *move]
Motivate | v. (-ting) <br>1 supply a motive to; be the motive of. <br>2 cause (a person) to act in a particular way. <br>3 stimulate the interest of (a person in an activity).  motivation n. Motivational adj.
Motive | <br>—n. <br>1 what induces a person to act in a particular way. <br>2 = *motif. <br>—adj. <br>1 tending to initiate movement. <br>2 concerned with movement. [latin motivus: related to *move]
Motorist | n. Driver of a car.
Moving | adj. Emotionally affecting.  movingly adv.
Usage | the term muhammadan is not used by muslims, and is often regarded as offensive.
Municipal | adj. Of a municipality or its self-government.  municipalize v. (also -ise) (-zing or -sing). Municipally adv. [latin municipium free city]
Usage | in sense 1a, the negative (i.e. Lack of obligation) is expressed by not have to or need not; must not denotes positive forbidding, as in you must not smoke.
Mutual | adj. <br>1 (of feelings, actions, etc.) Experienced or done by each of two or more parties to or towards the other(s) (mutual affection). <br>2 colloq. Common to two or more persons (a mutual friend). <br>3 having the same (specified) relationship to each other (mutual well-wishers).  mutuality n. Mutually adv. [latin mutuus borrowed]
Usage | the use of mutual in sense 2, although often found, is considered incorrect by some people, for whom common is preferable.
Myth | n. <br>1 traditional story usu. Involving supernatural or imaginary persons and embodying popular ideas on natural or social phenomena etc. <br>2 such narratives collectively. <br>3 widely held but false notion. <br>4 fictitious person, thing, or idea. <br>5 allegory (platonic myth).  mythical adj. Mythically adv. [greek muthos]
Naked | adj. <br>1 without clothes; nude. <br>2 without its usual covering. <br>3 undisguised (the naked truth). <br>4 (of a light, flame, sword, etc.) Unprotected or unsheathed.  nakedly adv. Nakedness n. [old english]
Namely | adv. That is to say; in other words.
Nasty | <br>—adj. (-ier, -iest) <br>1 highly unpleasant. <br>2 difficult to negotiate. <br>3 (of a person or animal) ill-natured. <br>—n. (pl. -ies) colloq. Horror film, esp. One on video and depicting cruelty or killing.  nastily adv. Nastiness n. [origin unknown]
Nationwide | adj. & adv. Extending over the whole nation.
Naval | adj. <br>1 of the or a navy. <br>2 of ships. [latin navis ship]
Navigation | n. <br>1 act or process of navigating. <br>2 art or science of navigating.  navigational adj.
Usage | since <br>1987 the official name has been british coal.
Nearby | <br>—adj. Near in position. <br>—adv. Close; not far away.
Necessity | n. (pl. -ies) <br>1 indispensable thing. <br>2 pressure of circumstances. <br>3 imperative need. <br>4 want; poverty. <br>5 constraint or compulsion regarded as a natural law governing all human action.  of necessity unavoidably.
Neglect | <br>—v. <br>1 fail to care for or to do; be remiss about. <br>2 (foll. By to + infin.) Fail; overlook the need to. <br>3 not pay attention to; disregard. <br>—n. <br>1 negligence. <br>2 neglecting or being neglected. <br>3 (usu. Foll. By of) disregard.  neglectful adj. Neglectfully adv. [latin neglego neglect-]
Negotiate | v. (-ting) <br>1 (usu. Foll. By with) confer in order to reach an agreement. <br>2 arrange (an affair) or bring about (a result) by negotiating. <br>3 find a way over, through, etc. (an obstacle, difficulty, etc.). <br>4 convert (a cheque etc.) Into money.  negotiation n. Negotiator n. [latin negotium business]
Usage | the term negress is often considered offensive; black is usually preferred.
Usage | the term negro is often considered offensive; black is usually preferred.
Nest | <br>—n. <br>1 structure or place where a bird lays eggs and shelters its young. <br>2 any creature's breeding-place or lair. <br>3 snug retreat or shelter. <br>4 brood or swarm. <br>5 group or set of similar objects, often of different sizes and fitting one inside the other (nest of tables). <br>—v. <br>1 use or build a nest. <br>2 take wild birds' nests or eggs. <br>3 (of objects) fit together or one inside another. [old english]
Neutral | <br>—adj. <br>1 not supporting either of two opposing sides, impartial. <br>2 belonging to a neutral state etc. (neutral ships). <br>3 indistinct, vague, indeterminate. <br>4 (of a gear) in which the engine is disconnected from the driven parts. <br>5 (of colours) not strong or positive; grey or beige. <br>6 chem. Neither acid nor alkaline. <br>7 electr. Neither positive nor negative. <br>8 biol. Sexually undeveloped; asexual. <br>—n. <br>1 a neutral state or person. B citizen of a neutral state. <br>2 neutral gear.  neutrality n. [latin neutralis of neuter gender]
Newly | adv. <br>1 recently. <br>2 afresh, anew.
Newsletter | n. Informal printed report issued periodically to members of a club etc.
Niche | n. <br>1 shallow recess, esp. In a wall. <br>2 comfortable or apt position in life or employment. <br>3 position from which an entrepreneur exploits a gap in the market; profitable corner of the market. [latin nidus nest]
Noble | <br>—adj. (nobler, noblest) <br>1 belonging to the aristocracy. <br>2 of excellent character; magnanimous. <br>3 of imposing appearance. <br>—n. Nobleman, noblewoman.  nobleness n. Nobly adv. [latin (g)nobilis]
Nod | <br>—v. (-dd-) <br>1 incline one's head slightly and briefly in assent, greeting, or command. <br>2 let one's head fall forward in drowsiness; be drowsy. <br>3 incline (one's head). <br>4 signify (assent etc.) By a nod. <br>5 (of flowers, plumes, etc.) Bend downwards and sway. <br>6 make a mistake due to a momentary lack of alertness or attention. <br>—n. Nodding of the head.  nod off colloq. Fall asleep. [origin unknown]
Nominate | v. (-ting) <br>1 propose (a candidate) for election. <br>2 appoint to an office. <br>3 name or appoint (a date or place).  nomination n. Nominator n. [latin: related to *nominal]
Nominee | n. Person who is nominated.
Usage | the number of words that can be formed from the suffix non- is unlimited; consequently, only the most current and noteworthy can be given here.
Usage | in sense 1b, the verb following none can be singular or plural according to meaning.
Nonetheless | adv. (also none the less) nevertheless.
Nonsense | n. <br>1 (often as int.) Absurd or meaningless words or ideas. <br>2 foolish or extravagant conduct.  nonsensical adj. Nonsensically adv.
Noon | n. Twelve o'clock in the day, midday. [latin nona (hora) ninth (hour): originally = <br>3 p.m.]
Norm | n. <br>1 standard, pattern, or type. <br>2 standard amount of work etc. <br>3 customary behaviour etc. [latin norma carpenter's square]
Usage | the use of not with verbs other than auxiliaries or be is now archaic except with participles and infinitives (not knowing, i cannot say; we asked them not to come).
Notable | <br>—adj. Worthy of note; remarkable, eminent. <br>—n. Eminent person.  notability n. Notably adv. [latin noto *note]
Notebook | n. Small book for making notes in.
Notify | v. (-ies, -ied) <br>1 (often foll. By of or that) inform or give formal notice to (a person). <br>2 make known.  notification n. [latin notus known]
Notorious | adj. Well-known, esp. Unfavourably.  notoriety n. Notoriously adv. [latin notus known]
Novelist | n. Writer of novels.
Nowadays | <br>—adv. At the present time or age; in these times. <br>—n. The present time.
Usage | in sense 4b, a number of is normally used with a plural verb: a number of problems remain.
Nursery | n. (pl. -ies) <br>1 a a room or place equipped for young children. B = *day nursery. <br>2 place where plants are reared for sale. [probably anglo-french: related to *nurse]
Nutrition | n. Food, nourishment.  nutritional adj. Nutritionist n.
Usage | this suffix is often elided before a vowel, as in neuralgia.
Objection | n. <br>1 expression or feeling of opposition or disapproval. <br>2 objecting. <br>3 adverse reason or statement. [latin: related to *object]
Oblige | v. (-ging) <br>1 constrain, compel. <br>2 be binding on. <br>3 do (a person) a small favour, help. <br>4 (as obliged adj.) Indebted, grateful.  much obliged thank you. [latin obligo bind]
Observer | n. <br>1 person who observes. <br>2 interested spectator. <br>3 person who attends a meeting etc. To note the proceedings but does not participate.
Obsess | v. Fill the mind of (a person) continually; preoccupy.  obsessive adj. & n. Obsessively adv. Obsessiveness n. [latin obsideo obsess- besiege]
Obsession | n. <br>1 obsessing or being obsessed. <br>2 persistent idea dominating a person's mind.  obsessional adj. Obsessionally adv.
Obstacle | n. Thing that obstructs progress. [latin obsto stand in the way]
Occasional | adj. <br>1 happening irregularly and infrequently. <br>2 made or meant for, or acting on, a special occasion.  occasionally adv.
Occupation | n. <br>1 person's employment or profession. <br>2 pastime. <br>3 occupying or being occupied. <br>4 taking or holding of a country etc. By force.
Occupy | v. (-ies, -ied) <br>1 live in; be the tenant of. <br>2 take up or fill (space, time, or a place). <br>3 hold (a position or office). <br>4 take military possession of. <br>5 place oneself in (a building etc.) Forcibly or without authority as a protest. <br>6 keep busy or engaged. [latin occupo seize]
Occurrence | n. <br>1 occurring. <br>2 incident or event.
Odds | n.pl. <br>1 ratio between the amounts staked by the parties to a bet, based on the expected probability either way. <br>2 balance of probability or advantage (the odds are against it; the odds are in your favour). <br>3 difference giving an advantage (it makes no odds).  at odds (often foll. By with) in conflict or at variance. Over the odds above the normal price etc. [apparently from *odd]
Usage | the use of off of for the preposition off (sense 1a), e.g. Picked it up off of the floor, is non-standard and should be avoided.
Offering | n. <br>1 contribution or gift, esp. Of money. <br>2 thing offered as a sacrifice etc.
Offspring | n. (pl. Same) <br>1 person's child, children, or descendants. <br>2 animal's young or descendants. <br>3 result. [old english: see *off, *spring]
Ongoing | adj. <br>1 continuing. <br>2 in progress.
Usage | in informal english only is usually placed between the subject and verb regardless of what it refers to (e.g. I only want to talk to you); in more formal english it is often placed more exactly, esp. To avoid ambiguity (e.g. I want to talk only to you). In speech, intonation usually serves to clarify the sense.
Usage | the form onto is still not fully accepted in the way that into is, although it is in wide use. It is however useful in distinguishing sense as between we drove on to the beach (i.e. In that direction) and we drove onto the beach (i.e. In contact with it).
Openly | adv. <br>1 frankly. <br>2 publicly.
Operational | adj. <br>1 of or engaged in or used for operations. <br>2 able or ready to function.  operationally adv.
Operator | n. <br>1 person operating a machine etc., esp. Connecting lines in a telephone exchange. <br>2 person engaging in business. <br>3 colloq. Person acting in a specified way (smooth operator). <br>4 symbol or function denoting an operation in mathematics, computing, etc.
Opt | v. (usu. Foll. By for) make a choice, decide.  opt out (often foll. By of) choose not to participate (in). [latin opto choose, wish]
Optical | adj. <br>1 of sight; visual. <br>2 of or according to optics. <br>3 aiding sight.  optically adv.
Optimism | n. <br>1 inclination to hopefulness and confidence. <br>2 philos. Belief that this world is as good as it could be or that good must ultimately prevail over evil.  optimist n. Optimistic adj. Optimistically adv. [latin optimus best]
Oral | <br>—adj. <br>1 by word of mouth; spoken; not written (oral examination). <br>2 done or taken by the mouth (oral sex; oral contraceptive). <br>—n. Colloq. Spoken examination.  orally adv. [latin os oris mouth]
Orchestra | n. <br>1 large group of instrumentalists combining strings, woodwinds, brass, and percussion. <br>2 (in full orchestra pit) part of a theatre etc. Where the orchestra plays, usu. In front of the stage and on a lower level.  orchestral adj. [greek, = area for the chorus in drama]
