
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Bind | <br>—v. (past and past part. Bound) <br>1 tie or fasten tightly. <br>2 restrain forcibly. <br>3 (cause to) cohere. <br>4 compel; impose a duty on. <br>5 a edge with braid etc. B fasten (the pages of a book) in a cover. <br>6 constipate. <br>7 ratify (a bargain, agreement, etc.). <br>8 (often foll. By up) bandage. <br>—n. Colloq. Nuisance; restriction.  bind over law order (a person) to do something, esp. Keep the peace. [old english]
Biography | n. (pl. -ies) <br>1 account of a person's life, written usu. By another. <br>2 these as a literary genre.  biographer n. Biographical adj. [french: related to *bio-]
Biological | adj. Of biology or living organisms.  biologically adv.
Bishop | n. <br>1 senior clergyman in charge of a diocese. <br>2 mitre-shaped chess piece. [greek episkopos overseer]
Bizarre | adj. Strange; eccentric; grotesque. [french]
Blade | n. <br>1 cutting part of a knife etc. <br>2 flattened part of an oar, propeller, etc. <br>3 a flat narrow leaf of grass etc. B broad thin part of a leaf. <br>4 flat bone, e.g. In the shoulder. [old english]
Blanket | <br>—n. <br>1 large esp. Woollen sheet used as a bed-covering etc. <br>2 thick covering mass or layer. <br>—attrib. Adj. Covering everything; inclusive. <br>—v. (-t-) <br>1 cover. <br>2 stifle, suppress. [french: related to *blank]
Blast | <br>—n. <br>1 strong gust of air. <br>2 a explosion. B destructive wave of air from this. <br>3 loud note from a wind instrument, car horn, etc. <br>4 colloq. Severe reprimand. <br>—v. <br>1 blow up with explosives. <br>2 wither, blight (blasted oak; blasted her hopes). <br>3 (cause to) make a loud noise. <br>—int. Expressing annoyance.  at full blast colloq. At maximum volume, speed, etc. Blast off take off from a launching site. [old english]
Bleed | <br>—v. (past and past part. Bled) <br>1 emit blood. <br>2 draw blood from surgically. <br>3 colloq. Extort money from. <br>4 (often foll. By for) suffer wounds or violent death. <br>5 a emit sap. B (of dye) come out in water. <br>6 empty (a system) of excess air or fluid. <br>—n. Act of bleeding.  one's heart bleeds usu. Iron. One is very sorrowful. [old english]
Blend | <br>—v. <br>1 mix together as required. <br>2 become one. <br>3 (often foll. By with, in) mingle; mix thoroughly. <br>4 (esp. Of colours) merge imperceptibly; harmonize. <br>—n. Mixture. [old norse]
Bless | v. (past and past part. Blessed, poet. Blest) <br>1 ask god to look favourably on, esp. By making the sign of the cross over. <br>2 consecrate (food etc.). <br>3 glorify (god). <br>4 attribute one's good luck to (stars etc.); thank. <br>5 (usu. In passive) make happy or successful (blessed with children).  bless me (or my soul) exclamation of surprise etc. Bless you! Exclamation of endearment, gratitude, etc., or to a person who has just sneezed. [old english]
Blessing | n. <br>1 invocation of (esp. Divine) favour. <br>2 grace said at a meal. <br>3 benefit.
Boast | <br>—v. <br>1 declare one's virtues, wealth, etc. With excessive pride. <br>2 own or have with pride (hotel boasts a ballroom). <br>—n. <br>1 act of boasting. <br>2 thing one is proud of. [anglo-french]
Bold | adj. <br>1 confidently assertive; adventurous, brave. <br>2 impudent. <br>3 vivid (bold colours).  make (or be) so bold as to presume to; venture to.  boldly adv. Boldness n. [old english]
Bonus | n. Extra benefit or payment. [latin, = good]
Booking | n. Reservation or engagement.
Boost | colloq. <br>—v. <br>1 promote or encourage. <br>2 increase, assist. <br>3 push from below. <br>—n. Act or result of boosting. [origin unknown]
Usage | this term has now been replaced by detention centre and youth custody centre.
Bounce | <br>—v. (-cing) <br>1 (cause to) rebound. <br>2 slang (of a cheque) be returned by a bank when there are no funds to meet it. <br>3 (foll. By about, up, in, out, etc.) Jump, move, or rush boisterously. <br>—n. <br>1 a rebound. B power of rebounding. <br>2 colloq. A swagger, self-confidence. B liveliness.  bounce back recover well after a setback.  bouncy adj. (-ier, -iest). [imitative]
Boundary | n. (pl. -ies) <br>1 line marking the limits of an area etc. <br>2 cricket hit crossing the limits of the field, scoring <br>4 or <br>6 runs. [related to *bound2]
